env_step,episode_return
13,13.0
29,16.0
39,10.0
74,35.0
93,19.0
113,20.0
128,15.0
148,20.0
159,11.0
185,26.0
212,27.0
227,15.0
248,21.0
263,15.0
299,36.0
315,16.0
330,15.0
360,30.0
390,30.0
441,51.0
451,10.0
545,94.0
592,47.0
609,17.0
633,24.0
655,22.0
738,83.0
750,12.0
804,54.0
822,18.0
872,50.0
899,27.0
940,41.0
973,33.0
997,24.0
1050,53.0
1098,48.0
1108,10.0
1131,23.0
1154,23.0
1175,21.0
1197,22.0
1209,12.0
1240,31.0
1286,46.0
1316,30.0
1338,22.0
1354,16.0
1375,21.0
1414,39.0
1436,22.0
1495,59.0
1532,37.0
1584,52.0
1631,47.0
1759,128.0
1841,82.0
1872,31.0
1940,68.0
1987,47.0
2014,27.0
2046,32.0
2139,93.0
2202,63.0
2326,124.0
2409,83.0
2497,88.0
2606,109.0
2649,43.0
2695,46.0
2722,27.0
2796,74.0
2932,136.0
3055,123.0
3223,168.0
3330,107.0
3410,80.0
3517,107.0
3615,98.0
3694,79.0
3853,159.0
3959,106.0
4098,139.0
4224,126.0
4391,167.0
4579,188.0
4751,172.0
4965,214.0
5049,84.0
5220,171.0
5544,324.0
5674,130.0
5785,111.0
5906,121.0
6038,132.0
6114,76.0
6205,91.0
6353,148.0
6515,162.0
6669,154.0
6788,119.0
7135,347.0
7373,238.0
7540,167.0
7894,354.0
8358,464.0
8744,386.0
9104,360.0
9222,118.0
9606,384.0
9858,252.0
10115,257.0
10453,338.0
10652,199.0
10840,188.0
10997,157.0
11129,132.0
11267,138.0
11500,233.0
11655,155.0
11708,53.0
12036,328.0
12383,347.0
12503,120.0
12640,137.0
12768,128.0
12898,130.0
13078,180.0
13234,156.0
13376,142.0
13608,232.0
14108,500.0
14341,233.0
14839,498.0
15170,331.0
15309,139.0
15574,265.0
15763,189.0
15861,98.0
16043,182.0
16175,132.0
16295,120.0
16427,132.0
16506,79.0
16581,75.0
16616,35.0
16672,56.0
16718,46.0
16816,98.0
16863,47.0
16916,53.0
16946,30.0
17034,88.0
17121,87.0
17151,30.0
17260,109.0
17317,57.0
17394,77.0
17412,18.0
17503,91.0
17617,114.0
17706,89.0
17809,103.0
17894,85.0
17935,41.0
18026,91.0
18104,78.0
18253,149.0
18332,79.0
18518,186.0
18671,153.0
18845,174.0
19011,166.0
19187,176.0
19363,176.0
19682,319.0
19912,230.0
20214,302.0
20446,232.0
20847,401.0
21137,290.0
21471,334.0
21971,500.0
22471,500.0
22709,238.0
23209,500.0
23709,500.0
24209,500.0
24639,430.0
25139,500.0
25574,435.0
25921,347.0
26272,351.0
26569,297.0
26758,189.0
27167,409.0
27366,199.0
27616,250.0
27983,367.0
28203,220.0
28545,342.0
29045,500.0
29468,423.0
29791,323.0
30291,500.0
30573,282.0
31073,500.0
31573,500.0
31807,234.0
32172,365.0
32580,408.0
33022,442.0
33522,500.0
33813,291.0
34313,500.0
34775,462.0
35275,500.0
35775,500.0
36275,500.0
36775,500.0
37275,500.0
37775,500.0
38264,489.0
38764,500.0
39229,465.0
39729,500.0
40043,314.0
40294,251.0
40531,237.0
40742,211.0
40872,130.0
41070,198.0
41304,234.0
41546,242.0
41812,266.0
42045,233.0
42427,382.0
42684,257.0
42942,258.0
43375,433.0
43457,82.0
43577,120.0
43755,178.0
44255,500.0
44431,176.0
44612,181.0
44996,384.0
45496,500.0
45945,449.0
46445,500.0
46945,500.0
47292,347.0
47792,500.0
48292,500.0
48792,500.0
49102,310.0
49314,212.0
49608,294.0
49773,165.0
49952,179.0
50163,211.0
50342,179.0
50520,178.0
50696,176.0
50864,168.0
51032,168.0
51187,155.0
51217,30.0
51388,171.0
51552,164.0
51581,29.0
51744,163.0
51905,161.0
52055,150.0
52222,167.0
52389,167.0
52559,170.0
52711,152.0
52899,188.0
53072,173.0
53287,215.0
53508,221.0
53714,206.0
53920,206.0
54140,220.0
54390,250.0
54684,294.0
54992,308.0
55190,198.0
55453,263.0
55723,270.0
55914,191.0
56414,500.0
56914,500.0
57318,404.0
57818,500.0
58318,500.0
58818,500.0
59318,500.0
59818,500.0
60318,500.0
60818,500.0
61318,500.0
61818,500.0
62318,500.0
62818,500.0
63318,500.0
63818,500.0
64318,500.0
64818,500.0
65318,500.0
65818,500.0
66304,486.0
66754,450.0
67075,321.0
67418,343.0
67646,228.0
67977,331.0
68216,239.0
68487,271.0
68839,352.0
69034,195.0
69296,262.0
69534,238.0
69717,183.0
69921,204.0
70144,223.0
70385,241.0
70533,148.0
70766,233.0
71045,279.0
71259,214.0
71493,234.0
71688,195.0
71880,192.0
72112,232.0
72321,209.0
72544,223.0
72740,196.0
72942,202.0
73189,247.0
73376,187.0
73575,199.0
73790,215.0
74130,340.0
74315,185.0
74700,385.0
75010,310.0
75391,381.0
75829,438.0
76102,273.0
76466,364.0
76966,500.0
