env_step,episode_return
17,17.0
52,35.0
67,15.0
82,15.0
96,14.0
109,13.0
143,34.0
170,27.0
187,17.0
239,52.0
275,36.0
306,31.0
324,18.0
339,15.0
356,17.0
371,15.0
392,21.0
408,16.0
424,16.0
441,17.0
452,11.0
461,9.0
473,12.0
488,15.0
500,12.0
517,17.0
527,10.0
543,16.0
552,9.0
561,9.0
571,10.0
580,9.0
592,12.0
600,8.0
610,10.0
618,8.0
626,8.0
636,10.0
645,9.0
655,10.0
663,8.0
673,10.0
681,8.0
696,15.0
705,9.0
714,9.0
724,10.0
736,12.0
745,9.0
755,10.0
764,9.0
774,10.0
784,10.0
794,10.0
804,10.0
814,10.0
822,8.0
831,9.0
841,10.0
851,10.0
861,10.0
870,9.0
879,9.0
889,10.0
899,10.0
909,10.0
919,10.0
928,9.0
937,9.0
945,8.0
955,10.0
964,9.0
974,10.0
984,10.0
993,9.0
1002,9.0
1011,9.0
1021,10.0
1030,9.0
1039,9.0
1049,10.0
1057,8.0
1067,10.0
1076,9.0
1085,9.0
1094,9.0
1103,9.0
1113,10.0
1122,9.0
1131,9.0
1140,9.0
1149,9.0
1159,10.0
1169,10.0
1178,9.0
1188,10.0
1197,9.0
1206,9.0
1216,10.0
1225,9.0
1235,10.0
1244,9.0
1253,9.0
1263,10.0
1273,10.0
1283,10.0
1293,10.0
1302,9.0
1312,10.0
1321,9.0
1330,9.0
1339,9.0
1348,9.0
1358,10.0
1367,9.0
1376,9.0
1384,8.0
1393,9.0
1403,10.0
1412,9.0
1422,10.0
1431,9.0
1441,10.0
1451,10.0
1459,8.0
1469,10.0
1479,10.0
1489,10.0
1499,10.0
1507,8.0
1517,10.0
1526,9.0
1535,9.0
1545,10.0
1554,9.0
1562,8.0
1572,10.0
1582,10.0
1591,9.0
1601,10.0
1610,9.0
1621,11.0
1630,9.0
1639,9.0
1649,10.0
1658,9.0
1668,10.0
1677,9.0
1686,9.0
1696,10.0
1705,9.0
1714,9.0
1724,10.0
1734,10.0
1744,10.0
1754,10.0
1764,10.0
1774,10.0
1783,9.0
1793,10.0
1803,10.0
1813,10.0
1822,9.0
1831,9.0
1841,10.0
1850,9.0
1859,9.0
1868,9.0
1877,9.0
1886,9.0
1894,8.0
1903,9.0
1912,9.0
1922,10.0
1930,8.0
1941,11.0
1949,8.0
1958,9.0
1968,10.0
1976,8.0
1985,9.0
1994,9.0
2004,10.0
2013,9.0
2021,8.0
2031,10.0
2039,8.0
2048,9.0
2057,9.0
2066,9.0
2074,8.0
2084,10.0
2095,11.0
2104,9.0
2114,10.0
2123,9.0
2132,9.0
2141,9.0
2151,10.0
2162,11.0
2173,11.0
2182,9.0
2191,9.0
2201,10.0
2210,9.0
2219,9.0
2227,8.0
2235,8.0
2245,10.0
2254,9.0
2264,10.0
2274,10.0
2283,9.0
2293,10.0
2303,10.0
2311,8.0
2321,10.0
2330,9.0
2339,9.0
2347,8.0
2355,8.0
2363,8.0
2372,9.0
2381,9.0
2390,9.0
2398,8.0
2406,8.0
2416,10.0
2425,9.0
2436,11.0
2444,8.0
2454,10.0
2463,9.0
2473,10.0
2483,10.0
2494,11.0
2502,8.0
2512,10.0
2520,8.0
2529,9.0
2539,10.0
2548,9.0
2558,10.0
2566,8.0
2576,10.0
2586,10.0
2595,9.0
2604,9.0
2614,10.0
2622,8.0
2632,10.0
2642,10.0
2651,9.0
2661,10.0
2670,9.0
2679,9.0
2687,8.0
2696,9.0
2705,9.0
2714,9.0
2723,9.0
2732,9.0
2740,8.0
2750,10.0
2760,10.0
2769,9.0
2777,8.0
2786,9.0
2794,8.0
2804,10.0
2814,10.0
2823,9.0
2832,9.0
2841,9.0
2850,9.0
2861,11.0
2871,10.0
2881,10.0
2891,10.0
2901,10.0
2910,9.0
2920,10.0
2929,9.0
2939,10.0
2948,9.0
2956,8.0
2966,10.0
2976,10.0
2984,8.0
2994,10.0
3004,10.0
3013,9.0
3022,9.0
3032,10.0
3041,9.0
3049,8.0
3059,10.0
3069,10.0
3078,9.0
3088,10.0
3098,10.0
3108,10.0
3116,8.0
3125,9.0
3135,10.0
3145,10.0
3155,10.0
3164,9.0
3173,9.0
3181,8.0
3190,9.0
3199,9.0
3208,9.0
3217,9.0
3226,9.0
3236,10.0
3244,8.0
3252,8.0
3260,8.0
3270,10.0
3280,10.0
3289,9.0
3299,10.0
3307,8.0
3316,9.0
3325,9.0
3333,8.0
3342,9.0
3351,9.0
3361,10.0
3370,9.0
3380,10.0
3390,10.0
3399,9.0
3410,11.0
3420,10.0
3428,8.0
3437,9.0
3446,9.0
3454,8.0
3463,9.0
3472,9.0
3482,10.0
3492,10.0
3500,8.0
3509,9.0
3520,11.0
3529,9.0
3539,10.0
3548,9.0
3557,9.0
3567,10.0
3576,9.0
3585,9.0
3595,10.0
3604,9.0
3613,9.0
3623,10.0
3633,10.0
3642,9.0
3650,8.0
3660,10.0
3670,10.0
3679,9.0
3690,11.0
3699,9.0
3709,10.0
3718,9.0
3727,9.0
3737,10.0
3747,10.0
3757,10.0
3767,10.0
3776,9.0
3786,10.0
3795,9.0
3805,10.0
3815,10.0
3825,10.0
3835,10.0
3844,9.0
3852,8.0
3860,8.0
3869,9.0
3878,9.0
3888,10.0
3897,9.0
3906,9.0
3915,9.0
3925,10.0
3934,9.0
3943,9.0
3951,8.0
3960,9.0
3969,9.0
3977,8.0
3986,9.0
3995,9.0
4004,9.0
4013,9.0
4021,8.0
4031,10.0
4041,10.0
4051,10.0
4061,10.0
4070,9.0
4078,8.0
4086,8.0
4096,10.0
4106,10.0
4115,9.0
4123,8.0
4133,10.0
4144,11.0
4153,9.0
4162,9.0
4172,10.0
4181,9.0
4191,10.0
4201,10.0
4209,8.0
4219,10.0
4229,10.0
4237,8.0
4247,10.0
4257,10.0
4267,10.0
4276,9.0
4285,9.0
4294,9.0
4302,8.0
4311,9.0
4321,10.0
4331,10.0
4341,10.0
4351,10.0
4361,10.0
4370,9.0
4379,9.0
4387,8.0
4397,10.0
4406,9.0
4416,10.0
4425,9.0
4434,9.0
4443,9.0
4453,10.0
4463,10.0
4473,10.0
4481,8.0
4490,9.0
4498,8.0
4507,9.0
4516,9.0
4526,10.0
4536,10.0
4546,10.0
4556,10.0
4567,11.0
4577,10.0
4586,9.0
4597,11.0
4606,9.0
4616,10.0
4624,8.0
4633,9.0
4642,9.0
4651,9.0
4661,10.0
4671,10.0
4681,10.0
4691,10.0
4700,9.0
4710,10.0
4719,9.0
4729,10.0
4737,8.0
4746,9.0
4756,10.0
4766,10.0
4775,9.0
4785,10.0
4794,9.0
4803,9.0
4812,9.0
4821,9.0
4831,10.0
4840,9.0
4848,8.0
4857,9.0
