env_step,episode_return
15,15.0
38,23.0
57,19.0
72,15.0
98,26.0
146,48.0
165,19.0
191,26.0
210,19.0
224,14.0
242,18.0
269,27.0
281,12.0
300,19.0
331,31.0
345,14.0
364,19.0
378,14.0
400,22.0
410,10.0
430,20.0
447,17.0
479,32.0
518,39.0
531,13.0
548,17.0
568,20.0
607,39.0
634,27.0
660,26.0
708,48.0
725,17.0
758,33.0
796,38.0
832,36.0
856,24.0
871,15.0
913,42.0
973,60.0
992,19.0
1042,50.0
1067,25.0
1097,30.0
1161,64.0
1187,26.0
1230,43.0
1249,19.0
1315,66.0
1364,49.0
1423,59.0
1435,12.0
1472,37.0
1534,62.0
1559,25.0
1590,31.0
1654,64.0
1694,40.0
1714,20.0
1744,30.0
1837,93.0
1870,33.0
1905,35.0
1942,37.0
2020,78.0
2049,29.0
2090,41.0
2217,127.0
2306,89.0
2351,45.0
2410,59.0
2536,126.0
2601,65.0
2632,31.0
2716,84.0
2752,36.0
2791,39.0
2848,57.0
2961,113.0
3022,61.0
3082,60.0
3175,93.0
3225,50.0
3279,54.0
3465,186.0
3585,120.0
3699,114.0
3814,115.0
3845,31.0
3895,50.0
3992,97.0
4045,53.0
4161,116.0
4197,36.0
4241,44.0
4319,78.0
4391,72.0
4429,38.0
4547,118.0
4649,102.0
4875,226.0
4920,45.0
5016,96.0
5153,137.0
5332,179.0
5469,137.0
5789,320.0
5864,75.0
6008,144.0
6209,201.0
6431,222.0
6893,462.0
7055,162.0
7414,359.0
7566,152.0
7756,190.0
7826,70.0
7956,130.0
8076,120.0
8103,27.0
8166,63.0
8242,76.0
8355,113.0
8553,198.0
8610,57.0
8658,48.0
8760,102.0
8827,67.0
8963,136.0
9144,181.0
9308,164.0
9396,88.0
9556,160.0
9718,162.0
10156,438.0
10447,291.0
10754,307.0
10952,198.0
11183,231.0
11357,174.0
11812,455.0
11997,185.0
12145,148.0
12339,194.0
12459,120.0
12633,174.0
12771,138.0
12965,194.0
13142,177.0
13605,463.0
13882,277.0
14011,129.0
14337,326.0
14543,206.0
14792,249.0
14875,83.0
14978,103.0
15066,88.0
15149,83.0
15316,167.0
15415,99.0
15652,237.0
15749,97.0
15842,93.0
15947,105.0
16047,100.0
16134,87.0
16231,97.0
16345,114.0
16423,78.0
16566,143.0
16751,185.0
16969,218.0
17084,115.0
17316,232.0
17635,319.0
17828,193.0
17953,125.0
18257,304.0
18426,169.0
18607,181.0
18902,295.0
19003,101.0
19284,281.0
19367,83.0
19543,176.0
19647,104.0
19766,119.0
20132,366.0
20363,231.0
20513,150.0
20778,265.0
21018,240.0
21187,169.0
21378,191.0
21552,174.0
21698,146.0
21834,136.0
21983,149.0
22137,154.0
22268,131.0
22415,147.0
22530,115.0
22650,120.0
22778,128.0
22894,116.0
23033,139.0
23070,37.0
23192,122.0
23330,138.0
23480,150.0
23604,124.0
23730,126.0
23861,131.0
23992,131.0
24114,122.0
24241,127.0
24364,123.0
24487,123.0
24632,145.0
24736,104.0
24866,130.0
25036,170.0
25183,147.0
25361,178.0
25532,171.0
25715,183.0
25947,232.0
26124,177.0
26355,231.0
26373,18.0
26558,185.0
26743,185.0
26919,176.0
27084,165.0
27277,193.0
27420,143.0
27577,157.0
27716,139.0
27880,164.0
28033,153.0
28176,143.0
28332,156.0
28479,147.0
28648,169.0
28802,154.0
28961,159.0
29100,139.0
29255,155.0
29393,138.0
29539,146.0
29711,172.0
29849,138.0
30004,155.0
30147,143.0
30288,141.0
30435,147.0
30576,141.0
30707,131.0
30834,127.0
30971,137.0
31103,132.0
31246,143.0
31417,171.0
31550,133.0
31687,137.0
31839,152.0
31967,128.0
31987,20.0
32132,145.0
32259,127.0
32392,133.0
32492,100.0
32616,124.0
32637,21.0
32748,111.0
32801,53.0
32911,110.0
33016,105.0
33057,41.0
33161,104.0
33273,112.0
33370,97.0
33486,116.0
33523,37.0
33611,88.0
33733,122.0
33839,106.0
33958,119.0
34075,117.0
34217,142.0
34319,102.0
34432,113.0
34570,138.0
34711,141.0
34848,137.0
34998,150.0
35112,114.0
35234,122.0
35379,145.0
35514,135.0
35664,150.0
35786,122.0
35942,156.0
36078,136.0
36220,142.0
36374,154.0
36500,126.0
36611,111.0
36739,128.0
36824,85.0
36938,114.0
37065,127.0
37198,133.0
37344,146.0
37469,125.0
37583,114.0
37728,145.0
37852,124.0
37998,146.0
38141,143.0
38302,161.0
38481,179.0
38622,141.0
38749,127.0
38895,146.0
39033,138.0
39187,154.0
39295,108.0
39482,187.0
39598,116.0
39751,153.0
39938,187.0
40124,186.0
40322,198.0
40519,197.0
40670,151.0
40852,182.0
41014,162.0
41175,161.0
41377,202.0
41556,179.0
41779,223.0
42003,224.0
42175,172.0
42353,178.0
42702,349.0
42927,225.0
43277,350.0
43527,250.0
43768,241.0
44097,329.0
44362,265.0
44579,217.0
45068,489.0
45328,260.0
45591,263.0
45952,361.0
46215,263.0
46459,244.0
46686,227.0
47083,397.0
47381,298.0
47622,241.0
47934,312.0
48178,244.0
48392,214.0
48572,180.0
48796,224.0
48984,188.0
49173,189.0
49420,247.0
49613,193.0
49777,164.0
49956,179.0
50118,162.0
50302,184.0
50483,181.0
50624,141.0
50749,125.0
50880,131.0
50993,113.0
51120,127.0
51237,117.0
51344,107.0
51471,127.0
51574,103.0
51686,112.0
51782,96.0
51910,128.0
52011,101.0
52120,109.0
52223,103.0
52334,111.0
52355,21.0
52461,106.0
52565,104.0
52650,85.0
52761,111.0
52870,109.0
52978,108.0
53101,123.0
53211,110.0
53336,125.0
53467,131.0
53581,114.0
53702,121.0
53823,121.0
53959,136.0
54121,162.0
54242,121.0
54363,121.0
54470,107.0
54660,190.0
54794,134.0
54894,100.0
55062,168.0
55211,149.0
55443,232.0
55581,138.0
55739,158.0
55906,167.0
56064,158.0
56205,141.0
56359,154.0
56580,221.0
56766,186.0
56911,145.0
57038,127.0
57180,142.0
57342,162.0
57517,175.0
57688,171.0
57853,165.0
58028,175.0
58193,165.0
58350,157.0
58511,161.0
58648,137.0
58732,84.0
58815,83.0
58952,137.0
59106,154.0
59216,110.0
59319,103.0
59417,98.0
59543,126.0
59677,134.0
59773,96.0
59860,87.0
59994,134.0
60092,98.0
60204,112.0
60342,138.0
60491,149.0
60639,148.0
60802,163.0
60969,167.0
61136,167.0
61277,141.0
61421,144.0
61604,183.0
61722,118.0
61858,136.0
61984,126.0
62135,151.0
62287,152.0
62429,142.0
62592,163.0
62712,120.0
62877,165.0
63019,142.0
63143,124.0
63268,125.0
63417,149.0
63664,247.0
63789,125.0
63927,138.0
64138,211.0
64363,225.0
64540,177.0
64728,188.0
64908,180.0
65304,396.0
65357,53.0
65562,205.0
65879,317.0
66121,242.0
66368,247.0
66767,399.0
67108,341.0
67447,339.0
67669,222.0
67873,204.0
68090,217.0
68341,251.0
68632,291.0
68915,283.0
69162,247.0
69553,391.0
69986,433.0
70430,444.0
70671,241.0
70854,183.0
71025,171.0
71186,161.0
71327,141.0
71448,121.0
71640,192.0
71761,121.0
71886,125.0
72007,121.0
72099,92.0
72203,104.0
72290,87.0
72418,128.0
72485,67.0
72546,61.0
72613,67.0
72676,63.0
72726,50.0
72808,82.0
72892,84.0
72944,52.0
73007,63.0
73061,54.0
73113,52.0
73177,64.0
73255,78.0
73316,61.0
73417,101.0
73511,94.0
73593,82.0
73694,101.0
73778,84.0
73858,80.0
73946,88.0
74033,87.0
74163,130.0
74271,108.0
74379,108.0
74474,95.0
74591,117.0
74703,112.0
74812,109.0
74922,110.0
75044,122.0
75177,133.0
75289,112.0
75378,89.0
75493,115.0
75614,121.0
75704,90.0
75809,105.0
75941,132.0
76030,89.0
76117,87.0
76226,109.0
76342,116.0
76464,122.0
76587,123.0
76689,102.0
76828,139.0
76967,139.0
77094,127.0
77271,177.0
77405,134.0
77525,120.0
77662,137.0
77817,155.0
77956,139.0
78110,154.0
78366,256.0
78602,236.0
78736,134.0
78919,183.0
79260,341.0
79427,167.0
79570,143.0
79702,132.0
79842,140.0
79984,142.0
80095,111.0
80245,150.0
80573,328.0
80698,125.0
80797,99.0
80927,130.0
81321,394.0
81598,277.0
81762,164.0
81881,119.0
82004,123.0
82260,256.0
82406,146.0
82639,233.0
82845,206.0
83117,272.0
83453,336.0
83656,203.0
83975,319.0
84327,352.0
84536,209.0
84689,153.0
84887,198.0
85117,230.0
85301,184.0
85469,168.0
85782,313.0
86020,238.0
86184,164.0
86393,209.0
86680,287.0
86947,267.0
87083,136.0
87349,266.0
87517,168.0
87707,190.0
87922,215.0
88127,205.0
88397,270.0
88716,319.0
