env_step,episode_return
23,23.0
36,13.0
49,13.0
73,24.0
93,20.0
108,15.0
142,34.0
174,32.0
199,25.0
211,12.0
228,17.0
248,20.0
274,26.0
288,14.0
316,28.0
342,26.0
363,21.0
380,17.0
396,16.0
408,12.0
419,11.0
436,17.0
448,12.0
469,21.0
510,41.0
533,23.0
575,42.0
597,22.0
618,21.0
638,20.0
686,48.0
699,13.0
707,8.0
722,15.0
745,23.0
795,50.0
818,23.0
846,28.0
869,23.0
883,14.0
901,18.0
926,25.0
940,14.0
952,12.0
976,24.0
988,12.0
1018,30.0
1052,34.0
1063,11.0
1088,25.0
1100,12.0
1114,14.0
1143,29.0
1166,23.0
1185,19.0
1208,23.0
1228,20.0
1240,12.0
1275,35.0
1304,29.0
1319,15.0
1349,30.0
1362,13.0
1374,12.0
1394,20.0
1407,13.0
1425,18.0
1443,18.0
1459,16.0
1477,18.0
1513,36.0
1548,35.0
1556,8.0
1574,18.0
1584,10.0
1621,37.0
1647,26.0
1659,12.0
1692,33.0
1707,15.0
1740,33.0
1763,23.0
1810,47.0
1822,12.0
1840,18.0
1896,56.0
1912,16.0
1931,19.0
1944,13.0
1962,18.0
1993,31.0
2020,27.0
2034,14.0
2053,19.0
2067,14.0
2094,27.0
2112,18.0
2135,23.0
2156,21.0
2184,28.0
2217,33.0
2239,22.0
2278,39.0
2291,13.0
2335,44.0
2348,13.0
2366,18.0
2381,15.0
2407,26.0
2425,18.0
2442,17.0
2457,15.0
2550,93.0
2566,16.0
2587,21.0
2597,10.0
2646,49.0
2665,19.0
2703,38.0
2727,24.0
2747,20.0
2772,25.0
2792,20.0
2817,25.0
2841,24.0
2861,20.0
2882,21.0
2894,12.0
2916,22.0
2959,43.0
3002,43.0
3014,12.0
3033,19.0
3052,19.0
3077,25.0
3089,12.0
3124,35.0
3142,18.0
3161,19.0
3179,18.0
3205,26.0
3258,53.0
3276,18.0
3289,13.0
3310,21.0
3327,17.0
3350,23.0
3368,18.0
3380,12.0
3399,19.0
3413,14.0
3429,16.0
3448,19.0
3508,60.0
3524,16.0
3535,11.0
3552,17.0
3581,29.0
3598,17.0
3634,36.0
3664,30.0
3713,49.0
3761,48.0
3782,21.0
3802,20.0
3817,15.0
3831,14.0
3846,15.0
3863,17.0
3887,24.0
3914,27.0
3932,18.0
4003,71.0
4022,19.0
4051,29.0
4077,26.0
4088,11.0
4104,16.0
4140,36.0
4164,24.0
4176,12.0
4196,20.0
4208,12.0
4227,19.0
4239,12.0
4251,12.0
4267,16.0
4278,11.0
4324,46.0
4336,12.0
4354,18.0
4385,31.0
4405,20.0
4428,23.0
4447,19.0
4493,46.0
4505,12.0
4528,23.0
4544,16.0
4567,23.0
4584,17.0
4605,21.0
4620,15.0
4659,39.0
4671,12.0
4694,23.0
4736,42.0
4760,24.0
4776,16.0
4785,9.0
4799,14.0
4819,20.0
4837,18.0
4847,10.0
4863,16.0
4940,77.0
4998,58.0
5025,27.0
5046,21.0
5062,16.0
5074,12.0
5086,12.0
5130,44.0
5176,46.0
5193,17.0
5208,15.0
5226,18.0
5271,45.0
5286,15.0
5309,23.0
5327,18.0
5344,17.0
5363,19.0
5427,64.0
5446,19.0
5464,18.0
5485,21.0
5518,33.0
5543,25.0
5587,44.0
5597,10.0
5612,15.0
5643,31.0
5671,28.0
5703,32.0
5734,31.0
5763,29.0
5782,19.0
5814,32.0
5828,14.0
5843,15.0
5885,42.0
5904,19.0
5949,45.0
5966,17.0
5994,28.0
6011,17.0
6022,11.0
6104,82.0
6130,26.0
6146,16.0
6160,14.0
6192,32.0
6236,44.0
6287,51.0
6307,20.0
6449,142.0
6472,23.0
6524,52.0
6543,19.0
6574,31.0
6591,17.0
6612,21.0
6663,51.0
6749,86.0
6785,36.0
6827,42.0
6842,15.0
6878,36.0
6903,25.0
6921,18.0
6938,17.0
6952,14.0
6967,15.0
6981,14.0
7049,68.0
7092,43.0
7207,115.0
7236,29.0
7293,57.0
7318,25.0
7329,11.0
7374,45.0
7404,30.0
7437,33.0
7457,20.0
7485,28.0
7505,20.0
7554,49.0
7585,31.0
7614,29.0
7659,45.0
7678,19.0
7715,37.0
7755,40.0
7803,48.0
7833,30.0
7845,12.0
7860,15.0
7877,17.0
7887,10.0
7914,27.0
7937,23.0
7990,53.0
8025,35.0
8050,25.0
8112,62.0
8125,13.0
8170,45.0
8193,23.0
8209,16.0
8278,69.0
8306,28.0
8357,51.0
8369,12.0
8387,18.0
8401,14.0
8495,94.0
8517,22.0
8530,13.0
8575,45.0
8599,24.0
8621,22.0
8634,13.0
8673,39.0
8691,18.0
8732,41.0
8764,32.0
8823,59.0
8857,34.0
8869,12.0
8889,20.0
8908,19.0
8938,30.0
8950,12.0
8984,34.0
9006,22.0
9028,22.0
9110,82.0
9143,33.0
9195,52.0
9211,16.0
9243,32.0
9262,19.0
9281,19.0
9305,24.0
9343,38.0
9423,80.0
9539,116.0
9563,24.0
9592,29.0
9625,33.0
9664,39.0
9680,16.0
9736,56.0
9755,19.0
9785,30.0
9808,23.0
9826,18.0
9857,31.0
9924,67.0
9945,21.0
9970,25.0
9991,21.0
10040,49.0
10090,50.0
10124,34.0
10160,36.0
10213,53.0
10229,16.0
10254,25.0
10289,35.0
10305,16.0
10325,20.0
10344,19.0
10366,22.0
10393,27.0
10412,19.0
10425,13.0
10444,19.0
10476,32.0
10536,60.0
10564,28.0
10638,74.0
10677,39.0
10730,53.0
10742,12.0
10805,63.0
10825,20.0
10855,30.0
10900,45.0
10930,30.0
11021,91.0
11060,39.0
11074,14.0
11087,13.0
11145,58.0
11177,32.0
11203,26.0
11217,14.0
11369,152.0
11393,24.0
11410,17.0
11426,16.0
11512,86.0
11555,43.0
11584,29.0
11610,26.0
11646,36.0
11684,38.0
11740,56.0
11797,57.0
11849,52.0
11868,19.0
11937,69.0
11948,11.0
12052,104.0
12105,53.0
12122,17.0
12176,54.0
12305,129.0
12329,24.0
12359,30.0
12412,53.0
12448,36.0
12488,40.0
12609,121.0
12654,45.0
12722,68.0
12764,42.0
12800,36.0
12869,69.0
12963,94.0
13007,44.0
13023,16.0
13067,44.0
13081,14.0
13161,80.0
13186,25.0
13199,13.0
13265,66.0
13343,78.0
13369,26.0
13394,25.0
13438,44.0
13474,36.0
13486,12.0
13620,134.0
13650,30.0
13693,43.0
13714,21.0
13765,51.0
13878,113.0
13903,25.0
13932,29.0
13955,23.0
13996,41.0
14044,48.0
14068,24.0
14108,40.0
14135,27.0
14147,12.0
14183,36.0
14196,13.0
14213,17.0
14253,40.0
14278,25.0
14407,129.0
14448,41.0
14472,24.0
14510,38.0
