env_step,episode_return
23,23.0
36,13.0
49,13.0
73,24.0
93,20.0
108,15.0
142,34.0
174,32.0
199,25.0
211,12.0
228,17.0
248,20.0
274,26.0
288,14.0
316,28.0
342,26.0
363,21.0
380,17.0
396,16.0
408,12.0
419,11.0
436,17.0
448,12.0
470,22.0
488,18.0
501,13.0
515,14.0
535,20.0
562,27.0
578,16.0
599,21.0
610,11.0
639,29.0
694,55.0
708,14.0
742,34.0
759,17.0
778,19.0
789,11.0
799,10.0
822,23.0
869,47.0
885,16.0
912,27.0
925,13.0
949,24.0
967,18.0
1016,49.0
1041,25.0
1084,43.0
1105,21.0
1122,17.0
1162,40.0
1187,25.0
1218,31.0
1231,13.0
1246,15.0
1260,14.0
1273,13.0
1289,16.0
1308,19.0
1316,8.0
1342,26.0
1356,14.0
1381,25.0
1392,11.0
1402,10.0
1449,47.0
1460,11.0
1478,18.0
1495,17.0
1512,17.0
1562,50.0
1580,18.0
1589,9.0
1651,62.0
1678,27.0
1690,12.0
1704,14.0
1761,57.0
1779,18.0
1809,30.0
1849,40.0
1860,11.0
1873,13.0
1883,10.0
1901,18.0
1949,48.0
1958,9.0
1982,24.0
2013,31.0
2043,30.0
2058,15.0
2085,27.0
2102,17.0
2119,17.0
2133,14.0
2150,17.0
2165,15.0
2184,19.0
2216,32.0
2233,17.0
2260,27.0
2276,16.0
2294,18.0
2324,30.0
2338,14.0
2361,23.0
2390,29.0
2407,17.0
2458,51.0
2473,15.0
2485,12.0
2507,22.0
2532,25.0
2543,11.0
2556,13.0
2566,10.0
2588,22.0
2598,10.0
2618,20.0
2639,21.0
2685,46.0
2696,11.0
2715,19.0
2736,21.0
2746,10.0
2785,39.0
2799,14.0
2813,14.0
2838,25.0
2870,32.0
2886,16.0
2899,13.0
2924,25.0
2952,28.0
2963,11.0
2982,19.0
2994,12.0
3009,15.0
3020,11.0
3037,17.0
3052,15.0
3069,17.0
3081,12.0
3095,14.0
3121,26.0
3134,13.0
3173,39.0
3188,15.0
3205,17.0
3221,16.0
3262,41.0
3274,12.0
3288,14.0
3297,9.0
3312,15.0
3336,24.0
3359,23.0
3371,12.0
3392,21.0
3407,15.0
3436,29.0
3470,34.0
3486,16.0
3501,15.0
3516,15.0
3549,33.0
3567,18.0
3586,19.0
3609,23.0
3624,15.0
3645,21.0
3660,15.0
3697,37.0
3730,33.0
3778,48.0
3809,31.0
3842,33.0
3857,15.0
3882,25.0
3899,17.0
3907,8.0
3945,38.0
3971,26.0
3992,21.0
4023,31.0
4048,25.0
4062,14.0
4100,38.0
4113,13.0
4142,29.0
4154,12.0
4170,16.0
4181,11.0
4197,16.0
4209,12.0
4224,15.0
4236,12.0
4247,11.0
4257,10.0
4273,16.0
4307,34.0
4340,33.0
4367,27.0
4377,10.0
4419,42.0
4438,19.0
4460,22.0
4482,22.0
4521,39.0
4533,12.0
4545,12.0
4560,15.0
4574,14.0
4614,40.0
4638,24.0
4655,17.0
4681,26.0
4698,17.0
4739,41.0
4767,28.0
4778,11.0
4793,15.0
4802,9.0
4828,26.0
4838,10.0
4847,9.0
4860,13.0
4884,24.0
4894,10.0
4904,10.0
4917,13.0
4941,24.0
4962,21.0
4972,10.0
4991,19.0
5030,39.0
5050,20.0
5062,12.0
5070,8.0
5083,13.0
5099,16.0
5116,17.0
5191,75.0
5204,13.0
5229,25.0
5243,14.0
5255,12.0
5272,17.0
5295,23.0
5339,44.0
5349,10.0
5377,28.0
5396,19.0
5417,21.0
5432,15.0
5445,13.0
5477,32.0
5511,34.0
5532,21.0
5563,31.0
5585,22.0
5645,60.0
5661,16.0
5687,26.0
5721,34.0
5739,18.0
5760,21.0
5801,41.0
5829,28.0
5906,77.0
5940,34.0
5952,12.0
5970,18.0
5988,18.0
6013,25.0
6030,17.0
6060,30.0
6116,56.0
6131,15.0
6148,17.0
6189,41.0
6207,18.0
6230,23.0
6261,31.0
6291,30.0
6310,19.0
6342,32.0
6366,24.0
6385,19.0
6395,10.0
6422,27.0
6455,33.0
6469,14.0
6491,22.0
6512,21.0
6529,17.0
6543,14.0
6569,26.0
6598,29.0
6710,112.0
6736,26.0
6749,13.0
6766,17.0
6797,31.0
6825,28.0
6856,31.0
6897,41.0
6930,33.0
6948,18.0
7012,64.0
7031,19.0
7057,26.0
7071,14.0
7100,29.0
7169,69.0
7186,17.0
7209,23.0
7237,28.0
7278,41.0
7325,47.0
7375,50.0
7396,21.0
7493,97.0
7526,33.0
7549,23.0
7598,49.0
7678,80.0
7696,18.0
7728,32.0
7784,56.0
7795,11.0
7806,11.0
7825,19.0
7842,17.0
7855,13.0
7893,38.0
7911,18.0
7962,51.0
7991,29.0
8007,16.0
8057,50.0
8072,15.0
8100,28.0
8161,61.0
8184,23.0
8241,57.0
8266,25.0
8284,18.0
8302,18.0
8317,15.0
8354,37.0
8376,22.0
8418,42.0
8497,79.0
8512,15.0
8531,19.0
8593,62.0
8623,30.0
8646,23.0
8710,64.0
8728,18.0
8748,20.0
8875,127.0
8960,85.0
9029,69.0
9047,18.0
9083,36.0
9104,21.0
9174,70.0
9198,24.0
9223,25.0
9256,33.0
9362,106.0
9417,55.0
9438,21.0
9459,21.0
9493,34.0
9522,29.0
9569,47.0
9632,63.0
9681,49.0
9725,44.0
9799,74.0
9818,19.0
9873,55.0
9889,16.0
9930,41.0
9940,10.0
9954,14.0
10024,70.0
10097,73.0
10142,45.0
10158,16.0
10232,74.0
10251,19.0
10267,16.0
10284,17.0
10322,38.0
10367,45.0
10402,35.0
10438,36.0
10491,53.0
10569,78.0
10598,29.0
10620,22.0
10638,18.0
10654,16.0
10677,23.0
10745,68.0
10790,45.0
10810,20.0
10851,41.0
10930,79.0
10961,31.0
10980,19.0
10999,19.0
11051,52.0
11063,12.0
11083,20.0
11119,36.0
11177,58.0
11199,22.0
11243,44.0
11271,28.0
11307,36.0
11348,41.0
11440,92.0
11451,11.0
11467,16.0
11505,38.0
11521,16.0
11614,93.0
11645,31.0
11664,19.0
11680,16.0
11718,38.0
11740,22.0
11794,54.0
11808,14.0
11832,24.0
11870,38.0
11986,116.0
12077,91.0
12197,120.0
12255,58.0
12268,13.0
12280,12.0
12380,100.0
12405,25.0
12457,52.0
12503,46.0
12559,56.0
12578,19.0
12633,55.0
12658,25.0
12710,52.0
12735,25.0
12746,11.0
12796,50.0
12807,11.0
12845,38.0
12895,50.0
12951,56.0
12983,32.0
12998,15.0
13021,23.0
13054,33.0
13065,11.0
13088,23.0
13110,22.0
13189,79.0
13207,18.0
13292,85.0
13396,104.0
13448,52.0
13577,129.0
13630,53.0
13654,24.0
13669,15.0
