env_step,episode_return
46,46.0
73,27.0
108,35.0
130,22.0
192,62.0
234,42.0
250,16.0
293,43.0
317,24.0
335,18.0
371,36.0
397,26.0
433,36.0
447,14.0
471,24.0
493,22.0
530,37.0
570,40.0
586,16.0
603,17.0
614,11.0
628,14.0
648,20.0
661,13.0
681,20.0
712,31.0
789,77.0
828,39.0
843,15.0
870,27.0
881,11.0
893,12.0
913,20.0
939,26.0
953,14.0
991,38.0
1008,17.0
1025,17.0
1051,26.0
1068,17.0
1086,18.0
1110,24.0
1134,24.0
1153,19.0
1163,10.0
1178,15.0
1193,15.0
1216,23.0
1234,18.0
1250,16.0
1279,29.0
1302,23.0
1330,28.0
1353,23.0
1368,15.0
1385,17.0
1423,38.0
1437,14.0
1461,24.0
1485,24.0
1503,18.0
1523,20.0
1547,24.0
1558,11.0
1575,17.0
1593,18.0
1632,39.0
1656,24.0
1671,15.0
1681,10.0
1698,17.0
1723,25.0
1752,29.0
1764,12.0
1801,37.0
1813,12.0
1854,41.0
1872,18.0
1889,17.0
1916,27.0
1942,26.0
1951,9.0
1971,20.0
1988,17.0
2039,51.0
2059,20.0
2116,57.0
2159,43.0
2178,19.0
2224,46.0
2238,14.0
2268,30.0
2280,12.0
2295,15.0
2307,12.0
2321,14.0
2338,17.0
2353,15.0
2377,24.0
2391,14.0
2406,15.0
2419,13.0
2473,54.0
2528,55.0
2544,16.0
2560,16.0
2610,50.0
2677,67.0
2692,15.0
2720,28.0
2739,19.0
2754,15.0
2784,30.0
2802,18.0
2825,23.0
2845,20.0
2857,12.0
2873,16.0
2888,15.0
2918,30.0
2941,23.0
3009,68.0
3020,11.0
3046,26.0
3077,31.0
3102,25.0
3117,15.0
3134,17.0
3160,26.0
3170,10.0
3181,11.0
3199,18.0
3211,12.0
3224,13.0
3236,12.0
3246,10.0
3265,19.0
3293,28.0
3311,18.0
3344,33.0
3386,42.0
3404,18.0
3417,13.0
3431,14.0
3452,21.0
3465,13.0
3482,17.0
3496,14.0
3531,35.0
3547,16.0
3575,28.0
3587,12.0
3608,21.0
3625,17.0
3639,14.0
3654,15.0
3696,42.0
3719,23.0
3731,12.0
3761,30.0
3809,48.0
3818,9.0
3846,28.0
3869,23.0
3886,17.0
3897,11.0
3944,47.0
3958,14.0
3974,16.0
3993,19.0
4008,15.0
4036,28.0
4070,34.0
4108,38.0
4121,13.0
4140,19.0
4150,10.0
4171,21.0
4186,15.0
4199,13.0
4214,15.0
4250,36.0
4301,51.0
4323,22.0
4337,14.0
4357,20.0
4381,24.0
4412,31.0
4441,29.0
4470,29.0
4479,9.0
4494,15.0
4513,19.0
4527,14.0
4543,16.0
4561,18.0
4612,51.0
4623,11.0
4659,36.0
4696,37.0
4711,15.0
4759,48.0
4774,15.0
4802,28.0
4835,33.0
4881,46.0
4898,17.0
4917,19.0
4937,20.0
4960,23.0
4987,27.0
4997,10.0
5015,18.0
5053,38.0
5079,26.0
5093,14.0
5106,13.0
5173,67.0
5227,54.0
5247,20.0
5262,15.0
5321,59.0
5335,14.0
5354,19.0
5366,12.0
5395,29.0
5421,26.0
5447,26.0
5463,16.0
5474,11.0
5489,15.0
5533,44.0
5553,20.0
5575,22.0
5587,12.0
5603,16.0
5625,22.0
5637,12.0
5649,12.0
5664,15.0
5680,16.0
5706,26.0
5717,11.0
5729,12.0
5755,26.0
5802,47.0
5838,36.0
5851,13.0
5913,62.0
5932,19.0
5948,16.0
5957,9.0
5970,13.0
6008,38.0
6094,86.0
6114,20.0
6127,13.0
6151,24.0
6165,14.0
6209,44.0
6229,20.0
6249,20.0
6259,10.0
6280,21.0
6316,36.0
6328,12.0
6392,64.0
6418,26.0
6439,21.0
6467,28.0
6482,15.0
6511,29.0
6528,17.0
6551,23.0
6597,46.0
6612,15.0
6651,39.0
6669,18.0
6689,20.0
6711,22.0
6732,21.0
6755,23.0
6778,23.0
6797,19.0
6831,34.0
6842,11.0
6874,32.0
6882,8.0
6893,11.0
6942,49.0
6974,32.0
6989,15.0
7002,13.0
7071,69.0
7101,30.0
7140,39.0
7156,16.0
7173,17.0
7195,22.0
7235,40.0
7267,32.0
7290,23.0
7324,34.0
7338,14.0
7377,39.0
7395,18.0
7453,58.0
7502,49.0
7536,34.0
7592,56.0
7607,15.0
7646,39.0
7677,31.0
7703,26.0
7737,34.0
7779,42.0
7788,9.0
7836,48.0
7888,52.0
7905,17.0
7948,43.0
7985,37.0
8031,46.0
8049,18.0
8068,19.0
8086,18.0
8142,56.0
8165,23.0
8193,28.0
8227,34.0
8239,12.0
8276,37.0
8310,34.0
8345,35.0
8369,24.0
8423,54.0
8439,16.0
8477,38.0
8550,73.0
8583,33.0
8672,89.0
8687,15.0
8699,12.0
8741,42.0
8767,26.0
8782,15.0
8819,37.0
8849,30.0
8885,36.0
8910,25.0
8984,74.0
9006,22.0
9028,22.0
9047,19.0
9095,48.0
9120,25.0
9171,51.0
9182,11.0
9197,15.0
9214,17.0
9232,18.0
9254,22.0
9287,33.0
9316,29.0
9326,10.0
9350,24.0
9393,43.0
9404,11.0
9451,47.0
9471,20.0
9495,24.0
9527,32.0
9559,32.0
9586,27.0
9597,11.0
9616,19.0
9666,50.0
9680,14.0
9695,15.0
9713,18.0
9747,34.0
9770,23.0
9783,13.0
9800,17.0
9829,29.0
9870,41.0
9917,47.0
9934,17.0
9954,20.0
9967,13.0
9994,27.0
10028,34.0
10045,17.0
10060,15.0
10076,16.0
10152,76.0
10171,19.0
10182,11.0
10206,24.0
10221,15.0
10259,38.0
10291,32.0
10305,14.0
10323,18.0
10343,20.0
10374,31.0
10390,16.0
10407,17.0
10419,12.0
10441,22.0
10455,14.0
10512,57.0
10582,70.0
10591,9.0
10605,14.0
10616,11.0
10632,16.0
10652,20.0
10683,31.0
10715,32.0
10734,19.0
10762,28.0
10781,19.0
10805,24.0
10850,45.0
10885,35.0
10901,16.0
10917,16.0
10935,18.0
11050,115.0
11070,20.0
11092,22.0
11138,46.0
11150,12.0
11176,26.0
11207,31.0
11232,25.0
11256,24.0
11288,32.0
11363,75.0
11378,15.0
11393,15.0
11406,13.0
11483,77.0
11529,46.0
11600,71.0
11658,58.0
11682,24.0
11731,49.0
11748,17.0
11777,29.0
11803,26.0
11820,17.0
11843,23.0
11875,32.0
11917,42.0
11967,50.0
11990,23.0
12006,16.0
12070,64.0
12087,17.0
12103,16.0
12183,80.0
12223,40.0
12246,23.0
12265,19.0
12280,15.0
12304,24.0
12354,50.0
12382,28.0
12407,25.0
12441,34.0
12467,26.0
12490,23.0
12548,58.0
12581,33.0
12616,35.0
12637,21.0
12712,75.0
12743,31.0
12766,23.0
12806,40.0
12849,43.0
12862,13.0
12909,47.0
12970,61.0
12991,21.0
13038,47.0
13057,19.0
13103,46.0
13205,102.0
13257,52.0
13268,11.0
13285,17.0
13318,33.0
13364,46.0
13378,14.0
13393,15.0
13460,67.0
13531,71.0
13583,52.0
13601,18.0
13678,77.0
13710,32.0
13734,24.0
13757,23.0
13802,45.0
13897,95.0
13913,16.0
13935,22.0
13962,27.0
13977,15.0
14027,50.0
14040,13.0
14070,30.0
14083,13.0
14129,46.0
14212,83.0
14292,80.0
14309,17.0
14332,23.0
14350,18.0
14387,37.0
14446,59.0
14499,53.0
14543,44.0
14580,37.0
14604,24.0
14617,13.0
14649,32.0
14698,49.0
14722,24.0
14763,41.0
14784,21.0
14856,72.0
14885,29.0
14941,56.0
14977,36.0
15001,24.0
15072,71.0
15118,46.0
15142,24.0
15225,83.0
15255,30.0
15359,104.0
15376,17.0
15411,35.0
15426,15.0
15510,84.0
15543,33.0
15558,15.0
15679,121.0
15721,42.0
15750,29.0
15790,40.0
15831,41.0
15851,20.0
15861,10.0
15878,17.0
15944,66.0
15964,20.0
16020,56.0
16034,14.0
16051,17.0
16108,57.0
16130,22.0
16200,70.0
16248,48.0
16335,87.0
16398,63.0
16447,49.0
16461,14.0
16478,17.0
16571,93.0
16596,25.0
16616,20.0
16632,16.0
16654,22.0
16667,13.0
16692,25.0
16764,72.0
16805,41.0
16842,37.0
16896,54.0
16959,63.0
16983,24.0
17002,19.0
17101,99.0
17185,84.0
17204,19.0
17219,15.0
17241,22.0
17286,45.0
17309,23.0
17336,27.0
17372,36.0
17428,56.0
17451,23.0
17485,34.0
17503,18.0
17619,116.0
17718,99.0
17795,77.0
17888,93.0
18000,112.0
18015,15.0
18077,62.0
18099,22.0
18150,51.0
18183,33.0
18234,51.0
18260,26.0
18272,12.0
18310,38.0
18324,14.0
18435,111.0
18456,21.0
18479,23.0
18516,37.0
18581,65.0
18622,41.0
18677,55.0
18700,23.0
18712,12.0
18743,31.0
18896,153.0
18941,45.0
18971,30.0
19041,70.0
19057,16.0
19070,13.0
19103,33.0
19161,58.0
19179,18.0
19197,18.0
19239,42.0
19276,37.0
19308,32.0
19320,12.0
19342,22.0
19441,99.0
19470,29.0
19483,13.0
19500,17.0
19552,52.0
19581,29.0
19616,35.0
19727,111.0
19800,73.0
19852,52.0
20019,167.0
20068,49.0
20092,24.0
20137,45.0
20225,88.0
20330,105.0
20362,32.0
20441,79.0
20495,54.0
20617,122.0
20732,115.0
20748,16.0
20777,29.0
20894,117.0
20953,59.0
20968,15.0
20980,12.0
20999,19.0
21181,182.0
21255,74.0
21325,70.0
21419,94.0
21452,33.0
21578,126.0
21662,84.0
21683,21.0
21705,22.0
21816,111.0
21894,78.0
21975,81.0
22012,37.0
22144,132.0
22230,86.0
22260,30.0
22419,159.0
22433,14.0
22468,35.0
22657,189.0
22906,249.0
23053,147.0
23068,15.0
23188,120.0
23282,94.0
23403,121.0
23426,23.0
23519,93.0
23553,34.0
23654,101.0
23768,114.0
23791,23.0
23901,110.0
23927,26.0
23939,12.0
24003,64.0
24036,33.0
24127,91.0
24141,14.0
24263,122.0
24278,15.0
24299,21.0
24332,33.0
24359,27.0
24397,38.0
24476,79.0
24539,63.0
24657,118.0
24690,33.0
24822,132.0
24911,89.0
25080,169.0
25291,211.0
25330,39.0
25486,156.0
25621,135.0
25746,125.0
25860,114.0
25881,21.0
25895,14.0
25916,21.0
26021,105.0
26136,115.0
26255,119.0
26360,105.0
26466,106.0
26601,135.0
26823,222.0
26894,71.0
26932,38.0
27058,126.0
27075,17.0
27088,13.0
27105,17.0
27134,29.0
27264,130.0
27363,99.0
27469,106.0
27590,121.0
27696,106.0
27720,24.0
